year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes,region_key,water_source,awd_ml_per_share,carry_over_ml_per_share,cumulative_allocation_ml_per_share,total_balance_ml_per_share,storage_value
2020-21,nsw,nrm,north west nsw,vegetables,4.32,1.35,2.7,2.0,1.35,ABS Water Use on Australian Farms 2020-21,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2020-21,nsw,nrm,north west nsw,grapes & vineyards,42.62,1.52,0.64,0.421,1.37,ABS Water Use on Australian Farms 2020-21,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2020-21,nsw,nrm,north west nsw,fruit & nuts,2066.59,1684.04,8372.53,4.972,7.15,ABS Water Use on Australian Farms 2020-21,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2020-21,nsw,nrm,north west nsw,cotton,102966.83,60983.52,300722.17,4.931,192.51,ABS Water Use on Australian Farms 2020-21,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2020-21,nsw,nrm,north west nsw,rice,16.87,16.87,168.69,9.999,1.2,ABS Water Use on Australian Farms 2020-21,,north_west_nsw,lower_namoi,0.0,1.46,0.0,1.46,0
2020-21,nsw,nrm,northern tablelands,grains & oilseeds,63166.14,590.38,767.19,1.299,10.24,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2020-21,nsw,nrm,northern tablelands,pasture & livestock feed,1863140.84,2505.35,5157.37,2.059,55.24,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2020-21,nsw,nrm,northern tablelands,vegetables,532.36,321.89,827.82,2.572,7.11,ABS Water Use on Australian Farms 2020-21,,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2020-21,nsw,nrm,northern tablelands,grapes & vineyards,117.43,14.91,35.93,2.41,2.37,ABS Water Use on Australian Farms 2020-21,,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2020-21,nsw,nrm,northern tablelands,fruit & nuts,723.43,702.38,2091.69,2.978,10.31,ABS Water Use on Australian Farms 2020-21,,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2020-21,nsw,nrm,northern tablelands,cotton,1499.3,1484.12,5046.68,3.4,6.65,ABS Water Use on Australian Farms 2020-21,,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2020-21,nsw,nrm,riverina,grains & oilseeds,1316673.2,69935.96,197157.38,2.819,216.68,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2020-21,nsw,nrm,riverina,pasture & livestock feed,3517891.97,18196.67,59853.63,3.289,238.27,ABS Water Use on Australian Farms 2020-21,Combined grazing/fed-off + hay/silage ABS categories,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2020-21,nsw,nrm,riverina,vegetables,2780.42,1424.24,6807.71,4.78,17.85,ABS Water Use on Australian Farms 2020-21,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2020-21,nsw,nrm,riverina,grapes & vineyards,15169.25,14319.13,60066.78,4.195,213.4,ABS Water Use on Australian Farms 2020-21,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2020-21,nsw,nrm,riverina,fruit & nuts,18870.37,17907.89,107448.37,6.0,293.81,ABS Water Use on Australian Farms 2020-21,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2020-21,nsw,nrm,riverina,cotton,22702.16,22683.33,225435.73,9.938,82.97,ABS Water Use on Australian Farms 2020-21,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2020-21,nsw,nrm,riverina,rice,22066.67,22066.67,261610.23,11.855,159.7,ABS Water Use on Australian Farms 2020-21,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2020-21,nsw,nrm,south east nsw,grains & oilseeds,53092.45,214.87,140.95,0.656,2.49,ABS Water Use on Australian Farms 2020-21,Grains category is cereals excluding rice; oilseeds not separately included,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
