year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes
2020-21,NSW,State,New South Wales,Vegetables,14142.45,9718.16,43707.25,4.497,613.99,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,State,New South Wales,Grapes & Vineyards,33501.67,30764.31,141722.35,4.607,590.17,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,State,New South Wales,Fruit & Nuts,59682.37,44977.68,237539.3,5.281,899.89,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,State,New South Wales,Cotton,166866,123869.68,826300.64,6.671,403.35,ABS Water Use on Australian Farms 2020-21,
2020-21,NSW,State,New South Wales,Rice,43907,43907,531434.4,12.104,383.44,ABS Water Use on Australian Farms 2020-21,
2019-20,NSW,NRM,Central Tablelands,Grains & Oilseeds,86086.92,509.4,1031.54,2.025,17.86,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,Central Tablelands,Pasture & Livestock Feed,1182792.56,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,Central Tablelands,Vegetables,1497.8,1211.08,5932.76,4.899,13.32,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central Tablelands,Grapes & Vineyards,2594.28,1872.43,3135.65,1.675,101.95,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central Tablelands,Fruit & Nuts,1396.96,1084.53,4196.47,3.869,69.36,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central Tablelands,Cotton,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central Tablelands,Rice,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central West,Grains & Oilseeds,934339.14,4584.87,18618.64,4.061,27.66,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,Central West,Pasture & Livestock Feed,4153837.18,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,Central West,Vegetables,531.21,465.9,1388.38,2.98,4.21,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central West,Grapes & Vineyards,184.56,35.38,71.51,2.021,7.94,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central West,Fruit & Nuts,372.14,318.7,1742.17,5.466,15.56,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central West,Cotton,3903.59,1742.64,14113,8.099,20.84,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Central West,Rice,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Greater Sydney,Grains & Oilseeds,316.91,230,1264,5.496,2,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,Greater Sydney,Pasture & Livestock Feed,37378.51,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,Greater Sydney,Vegetables,3063.88,2501.3,6898.73,2.758,433.59,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Greater Sydney,Grapes & Vineyards,6.82,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Greater Sydney,Fruit & Nuts,889.58,764.63,2353.76,3.078,82.97,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Greater Sydney,Cotton,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Greater Sydney,Rice,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Hunter,Grains & Oilseeds,9394.1,,,,,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,Hunter,Pasture & Livestock Feed,844531.76,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,Hunter,Vegetables,74.01,36.04,62.33,1.729,14.48,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Hunter,Grapes & Vineyards,2702.72,2049.44,3050.34,1.488,111.43,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Hunter,Fruit & Nuts,446.68,250.13,776.43,3.104,31.59,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Hunter,Cotton,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Hunter,Rice,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Murray,Grains & Oilseeds,473048,24390.12,45590.98,1.869,130.4,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,Murray,Pasture & Livestock Feed,2071986.69,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,Murray,Vegetables,691.21,653.75,3281.19,5.019,16.3,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Murray,Grapes & Vineyards,957.83,848.54,4546.08,5.358,18.18,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Murray,Fruit & Nuts,3886.97,3776.1,22775.66,6.032,26.99,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Murray,Cotton,879.05,879.05,7032.37,8,6.52,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Murray,Rice,493.65,493.65,6928.22,14.035,7.6,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North Coast,Grains & Oilseeds,1490.02,,,,,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,North Coast,Pasture & Livestock Feed,509932.28,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,North Coast,Vegetables,571.31,462.79,1020.68,2.205,124.51,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North Coast,Grapes & Vineyards,22.43,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North Coast,Fruit & Nuts,15681.25,6705.74,12338.12,1.84,389.97,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North Coast,Cotton,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North Coast,Rice,54.89,54.89,21.96,0.4,5.49,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North West NSW,Grains & Oilseeds,538285.63,16647.95,36236.3,2.177,113.17,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,North West NSW,Pasture & Livestock Feed,3356314.33,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,North West NSW,Vegetables,13.24,13.24,1.32,0.1,1.32,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North West NSW,Grapes & Vineyards,1.32,1.32,0.66,0.5,1.32,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North West NSW,Fruit & Nuts,2472.07,1928.21,11564.91,5.998,15.52,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North West NSW,Cotton,36236.23,23783.84,103569.96,4.355,118.37,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,North West NSW,Rice,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Northern Tablelands,Grains & Oilseeds,40454.47,365.78,948.17,2.592,3.43,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,Northern Tablelands,Pasture & Livestock Feed,1772608.41,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,Northern Tablelands,Vegetables,333.09,309.11,2059.72,6.663,4.52,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Northern Tablelands,Grapes & Vineyards,42.64,12.18,12.18,1,1.22,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Northern Tablelands,Fruit & Nuts,341.68,268.77,353.33,1.315,7.31,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Northern Tablelands,Cotton,311.51,103.84,519.18,5,1.3,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Northern Tablelands,Rice,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Riverina,Grains & Oilseeds,1109328.51,37448.99,103295.31,2.758,140.27,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,Riverina,Pasture & Livestock Feed,3210813.7,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,Riverina,Vegetables,2642.13,1642.47,7566.72,4.607,28.33,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Riverina,Grapes & Vineyards,17045.17,14445.27,61887.21,4.284,217.57,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Riverina,Fruit & Nuts,17128.32,16135.64,98474.53,6.103,367.17,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Riverina,Cotton,12454.05,12454.05,128516.05,10.319,40.12,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Riverina,Rice,3579.65,3579.65,46244.4,12.919,69.52,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,South East NSW,Grains & Oilseeds,23372.56,,,,,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,South East NSW,Pasture & Livestock Feed,1613483.02,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,South East NSW,Vegetables,179.41,167.62,1127.03,6.724,40.27,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,South East NSW,Grapes & Vineyards,852.34,771.93,3015.71,3.907,53.07,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,South East NSW,Fruit & Nuts,289.14,128.36,346.67,2.701,27.61,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,South East NSW,Cotton,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,South East NSW,Rice,118.91,118.91,1426.92,12,2.97,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Western,Grains & Oilseeds,186686.13,2094.6,9322.7,4.451,2,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,NRM,Western,Pasture & Livestock Feed,21781517.56,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,NRM,Western,Vegetables,602.89,602.89,5506.31,9.133,24.97,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Western,Grapes & Vineyards,7781.82,7711.79,59166.45,7.672,145.48,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Western,Fruit & Nuts,7132.69,7019.69,58141.62,8.283,71.78,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Western,Cotton,845,845,9970.7,11.8,2,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,NRM,Western,Rice,,,,,,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,State,New South Wales,Grains & Oilseeds,3402802.4,86271.72,216307.65,2.507,436.8,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included
2019-20,NSW,State,New South Wales,Pasture & Livestock Feed,40535196,,,,,ABS Water Use on Australian Farms 2019-20,Combined grazing/fed-off + hay/silage ABS categories
2019-20,NSW,State,New South Wales,Vegetables,10200.19,8066.19,34845.18,4.32,705.82,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,State,New South Wales,Grapes & Vineyards,32191.95,27748.28,134885.79,4.861,658.16,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,State,New South Wales,Fruit & Nuts,50037.47,38380.5,213063.67,5.551,1105.84,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,State,New South Wales,Cotton,54629.43,39808.41,263721.27,6.625,189.15,ABS Water Use on Australian Farms 2019-20,
2019-20,NSW,State,New South Wales,Rice,4247.1,4247.1,54621.49,12.861,85.58,ABS Water Use on Australian Farms 2019-20,
2018-19,NSW,NRM,Central Tablelands,Grains & Oilseeds,,,,,,ABS Water Use on Australian Farms 2018-19,Grains category is cereals excluding rice; oilseeds not separately included
2018-19,NSW,NRM,Central Tablelands,Pasture & Livestock Feed,1276076.33,2399.86,8205.58,3.419,65.04,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories
2018-19,NSW,NRM,Central Tablelands,Vegetables,,,,,,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Central Tablelands,Grapes & Vineyards,2599.34,2429.17,3101.93,1.277,69.99,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Central Tablelands,Fruit & Nuts,1009.64,539.38,2704.15,5.013,50.98,ABS Water Use on Australian Farms 2018-19,
2018-19,NSW,NRM,Central Tablelands,Cotton,,,,,,ABS Water Use on Australian Farms 2018-19,
